CustomerName,Product A,Product B,Product C,Date,Latitude,Longitude,Sales
19,0,39,8,2020-10-28 4:28,-1.1861307,36.9075413,47
43,4,0,0,2020-10-28 4:40,-1.2906615,36.7281435,4
61,0,0,1,2020-10-28 4:50,-1.29041,36.7402,1
62,0,1,0,2020-10-28 4:52,-1.185565,36.9045317,1
71,3,0,0,2020-10-28 4:58,-1.2556324,36.7225802,4
81,0,3,0,2020-10-28 5:02,-1.2874016,36.708322,3
83,14,0,0,2020-10-28 5:02,-1.270116,36.7530335,14
88,0,2,0,2020-10-28 5:03,-1.2119204,36.9035341,2
95,0,2,0,2020-10-28 5:06,-1.2846254,36.7371107,2
106,1,6,0,2020-10-28 5:09,-1.190835,36.9136067,7
107,3,0,0,2020-10-28 5:09,-1.19857,36.784245,4
131,0,6,0,2020-10-28 5:17,-1.2822817,36.7141733,6
133,0,3,2,2020-10-28 5:18,-1.2841384,36.7293136,5
153,0,2,0,2020-10-28 5:23,-1.280155,36.7124567,2
154,0,4,1,2020-10-28 5:23,-1.28854,36.7448283,5
172,0,1,0,2020-10-28 5:28,-1.28464,36.742,1
177,0,1,0,2020-10-28 5:31,-1.28460833,36.74196667,1
178,0,1,0,2020-10-28 5:31,-1.2794783,36.7120583,1
196,0,8,0,2020-10-28 5:34,-1.264375,36.7521933,8
250,1,0,0,2020-10-28 5:46,-1.2897483,36.7502167,2
266,0,2,0,2020-10-28 5:49,-1.2887617,36.7264217,2
272,3,0,0,2020-10-28 5:51,-1.2886733,36.7511317,4
290,2,0,0,2020-10-28 5:55,-1.20433235,36.89632416,2
303,0,1,0,2020-10-28 5:58,-1.28107,36.7439,1
310,0,2,0,2020-10-28 6:00,-1.2045269,36.8966514,2
332,0,0,4,2020-10-28 6:03,-1.1971606,36.9049658,4
351,2,0,0,2020-10-28 6:05,-1.2852283,36.7455333,2
377,0,0,0,2020-10-28 6:09,-1.2911657,36.7361647,1
386,1,0,0,2020-10-28 6:12,-1.27973,36.7447,1
